country_region,total_deaths
US,675771707
Brazil,464273407
India,346857108
Mexico,229766976
Russia,207795679
Peru,140780155
United Kingdom,133608572
Italy,121550244
France,107770270
Colombia,95833221
Iran,95710791
Indonesia,94863737
Germany,90565284
Argentina,86601752
Spain,80519498
Poland,71760632
South Africa,67542375
Ukraine,66296277
Turkey,59353999
Romania,39635813
Chile,36011613
Philippines,35116674
Hungary,28536876
Canada,28490933
Czechia,26816584
Ecuador,25208164
Belgium,24561604
Bulgaria,21593115
Pakistan,21244458
Malaysia,20352040
Japan,19920555
Vietnam,19742302
Bangladesh,19096524
Iraq,18280435
Tunisia,17601552
Netherlands,17366026
Greece,16713715
Egypt,16405444
Portugal,16081652
Bolivia,15634458
Thailand,14525109
Sweden,14255782
Slovakia,12048464
Guatemala,11702359
Austria,11687741
Paraguay,11644361
Burma,11277211
Kazakhstan,10976838
Morocco,10933493
Switzerland,10072650
"Korea, South",10068585
Bosnia and Herzegovina,9793382
Croatia,9453849
Serbia,9306150
China,9265675
Georgia,9053580
Jordan,8969725
Sri Lanka,8690574
Nepal,7612963
Saudi Arabia,7365539
Honduras,7358935
Moldova,7136545
Israel,7136427
Lebanon,6799614
Panama,6137389
Azerbaijan,5911912
North Macedonia,5835319
Armenia,5408911
Costa Rica,5312154
Lithuania,5284441
Ireland,5189181
Afghanistan,5151443
Australia,4936968
Ethiopia,4778071
Algeria,4667321
Cuba,4652467
Uruguay,4378423
Slovenia,4347117
Belarus,4112075
Libya,3951852
Kenya,3733613
Denmark,3645964
West Bank and Gaza,3560647
Venezuela,3531080
Dominican Republic,3455613
Zimbabwe,3268179
Latvia,3227279
Taiwan*,3082482
Oman,3027848
Sudan,3010543
El Salvador,2753595
Zambia,2493908
Finland,2450761
Albania,2363048
Namibia,2339469
Nigeria,2294851
Kosovo,2209609
Kyrgyzstan,2145339
Uganda,2067052
Syria,1955124
Trinidad and Tobago,1932706
Kuwait,1836921
Jamaica,1718965
Montenegro,1712837
Norway,1699503
United Arab Emirates,1646860
Malawi,1641904
Cambodia,1640774
Botswana,1575983
Estonia,1467909
Yemen,1442339
Mozambique,1334747
Senegal,1322965
Cameroon,1292252
Angola,1166154
Mongolia,1124603
Uzbekistan,1056967
Bahrain,1014329
Ghana,944721
Congo (Kinshasa),940357
Eswatini,891493
Madagascar,855763
Somalia,851444
Rwanda,846040
Luxembourg,761919
Suriname,760255
Guyana,703920
Mauritania,640570
Singapore,632657
Cyprus,578424
New Zealand,555670
Haiti,540228
Mali,502019
Cote d'Ivoire,490069
Qatar,489819
Bahamas,467961
Malta,449156
Fiji,436492
Lesotho,430334
Belize,416733
Tanzania,408726
Mauritius,401030
Papua New Guinea,332685
Laos,297708
Guinea,273935
Cabo Verde,268088
Gambia,246660
Congo (Brazzaville),238392
Burkina Faso,232842
Barbados,214572
Niger,212527
Saint Lucia,195211
Liberia,193093
Nicaragua,192784
Gabon,191696
Maldives,186001
Togo,176640
Chad,155967
Djibouti,137500
Equatorial Guinea,133640
Andorra,121580
Comoros,115398
Benin,113371
Grenada,110609
Guinea-Bissau,108273
South Sudan,106462
Tajikistan,104638
Sierra Leone,101997
Seychelles,90810
Brunei,90622
San Marino,89519
Central African Republic,88816
Iceland,77666
Mainland China,77455
Antigua and Barbuda,75327
Timor-Leste,70002
Liechtenstein,55740
Saint Vincent and the Grenadines,52674
Solomon Islands,52036
Eritrea,50634
Sao Tome and Principe,47054
Monaco,34984
Dominica,29900
Burundi,22339
Saint Kitts and Nevis,19948
Diamond Princess,13548
Micronesia,8486
Samoa,8154
Bhutan,7496
Kiribati,4678
Vanuatu,4463
Tonga,3698
Marshall Islands,2885
Palau,2342
MS Zaandam,2078
"Korea, North",1732
South Korea,415
Iran (Islamic Republic of),291
Western Sahara,195
Nauru,144
Others,95
Cruise Ship,94
Hong Kong,57
Republic of Korea,54
Taiwan,23
UK,18
Martinique,6
Hong Kong SAR,3
Taipei and environs,1
Holy See,0
Antarctica,0
Summer Olympics 2020,0
Winter Olympics 2022,0
Tuvalu,0
Macau,0
Czech Republic,0
French Guiana,0
Reunion,0
occupied Palestinian territory,0
Palestine,0
Republic of Ireland,0
Saint Barthelemy,0
Faroe Islands,0
Gibraltar,0
Vatican City,0
St. Martin,0
 Azerbaijan,0
North Ireland,0
Aruba,0
Jersey,0
Cayman Islands,0
Curacao,0
Guadeloupe,0
Guernsey,0
Guam,0
Puerto Rico,0
Greenland,0
Mayotte,0
Republic of the Congo,0
The Bahamas,0
"Bahamas, The",0
"Gambia, The",0
The Gambia,0
,0
Cape Verde,0
East Timor,0
Viet Nam,0
Macao SAR,0
Russian Federation,0
Republic of Moldova,0
Saint Martin,0
Channel Islands,0
Ivory Coast,